,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Clave,SISTEMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Estado de Situación Financiera (millones de pesos corrientes),dic-00,ene-01,feb-01,mar-01,abr-01,may-01,jun-01,jul-01,ago-01,sep-01,oct-01,nov-01,dic-01,ene-02,feb-02,mar-02,abr-02,may-02,jun-02,jul-02,ago-02,sep-02,oct-02,nov-02,dic-02,ene-03,feb-03,mar-03,abr-03,may-03,jun-03,jul-03,ago-03,sep-03,oct-03,nov-03,dic-03,ene-04,feb-04,mar-04,abr-04,may-04,jun-04,jul-04,ago-04,sep-04,oct-04,nov-04,dic-04,ene-05,feb-05,mar-05,abr-05,may-05,jun-05,jul-05,ago-05,sep-05,oct-05,nov-05,dic-05,ene-06,feb-06,mar-06,abr-06,may-06,jun-06,jul-06,ago-06,sep-06,oct-06,nov-06,dic-06,ene-07,feb-07,mar-07,abr-07,may-07,jun-07,jul-07,ago-07,sep-07,oct-07,nov-07,dic-07,ene-08,feb-08,mar-08,abr-08,may-08,jun-08,jul-08,ago-08,sep-08,oct-08,nov-08,dic-08,ene-09,feb-09,mar-09,abr-09,may-09,jun-09,jul-09,ago-09,sep-09,oct-09,nov-09,dic-09,ene-10,feb-10,mar-10,abr-10,may-10,jun-10,jul-10,ago-10,sep-10,oct-10,nov-10,dic-10,ene-11,feb-11,mar-11,abr-11,may-11,jun-11,jul-11,ago-11,sep-11,oct-11,nov-11,dic-11,ene-12,feb-12,mar-12,abr-12,may-12,jun-12,jul-12,ago-12,sep-12,oct-12,nov-12,dic-12,ene-13,feb-13,mar-13,abr-13,may-13,jun-13,jul-13,ago-13,sep-13,oct-13,nov-13,dic-13,ene-14,feb-14,mar-14,abr-14,may-14,jun-14,jul-14,ago-14,sep-14,oct-14,nov-14,dic-14,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,*
,,,,MENU INICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, * 
*,*,*,100000000000,Activo,"2,031,704","2,055,188","2,084,830","2,056,695","2,081,879","2,118,365","2,132,420","2,226,432","2,287,704","2,254,975","2,312,307","2,307,765","2,286,120","2,323,268","2,287,075","2,305,574","2,262,223","2,309,851","2,399,050","2,298,486","2,287,547","2,339,723","2,370,007","2,423,197","2,363,354","2,274,997","2,325,091","2,393,019","2,456,799","2,384,950","2,382,485","2,408,823","2,484,706","2,469,204","2,487,824","2,489,299","2,495,348","2,564,490","2,589,572","2,611,628","2,538,678","2,559,099","2,668,352","2,603,304","2,645,411","2,691,812","2,761,804","2,852,606","2,820,070","2,868,592","2,899,766","2,885,861","2,886,001","2,970,752","2,962,293","3,019,314","3,126,304","3,090,987","3,133,332","3,282,614","3,218,336","3,345,606","3,366,460","3,337,044","3,349,921","3,525,571","3,516,796","3,418,524","3,487,019","3,560,285","3,573,176","3,703,171","3,651,317","3,890,328","3,820,284","3,773,598","3,855,802","4,008,778","3,949,955","4,073,944","4,041,728","4,042,855","4,266,034","4,241,584","4,244,874","4,377,043","4,291,380","4,360,847","4,440,436","4,525,858","4,502,716","4,524,642","4,531,718","4,549,773","4,307,610","4,385,903","4,430,464","4,469,156","4,876,180","4,882,322","4,843,960","4,825,977","4,753,835","4,901,459","4,804,143","4,954,396","4,857,574","4,805,802","4,715,231","4,732,103","4,807,813","4,834,396","4,880,626","4,961,461","4,998,066","4,908,073","5,107,830","5,222,354","5,087,065","5,102,982","5,180,987","5,218,668","5,182,809","5,336,107","5,353,597","5,363,582","5,567,977","5,554,711","5,650,754","5,687,095","5,698,817","5,876,762","5,793,171","5,835,753","5,796,517","5,796,133","5,903,581","5,972,305","5,971,302","5,929,523","5,894,751","5,928,243","6,049,674","6,116,801","6,009,549","6,093,467","6,142,686","6,100,511","6,304,984","6,293,200","6,242,497","6,224,349","6,314,271","6,302,957","6,452,358","6,393,143","6,523,385","6,611,543","6,543,882","6,734,575","6,898,779","6,931,024","6,938,663","6,950,646","6,970,625","7,043,860","7,138,066","7,210,767","6,873,004","7,176,430","7,120,413","7,320,914","7,281,031","7,407,113","7,336,551","7,511,086","7,577,985","7,775,841","7,610,993","7,575,470","7,697,514","8,009,417","8,049,672","8,047,857","7,953,206","7,982,443","8,126,204","7,993,642","8,133,691","8,174,615","8,054,167","8,686,723","8,593,397","8,751,237","8,582,818","8,432,247","8,621,132","8,689,858","8,521,388","8,385,186","8,493,933","8,599,451","8,875,867","8,858,186","8,941,017","8,965,964","9,126,906","9,021,108","9,157,012","9,492,713","9,422,905","9,189,112","9,142,207","9,160,697","9,679,239","9,714,765","9,475,282","9,402,669","9,457,838","9,472,438","9,565,229","9,781,695","9,684,697","9,679,279","10,074,833","9,790,639","9,954,304","9,985,535","9,759,771","9,919,354","10,158,565","11,447,873","11,885,424","11,502,126","11,592,483","11,491,515","11,312,983","11,246,281","11,256,949","11,224,180","11,113,872","11,204,711","11,148,567","10,891,076","10,910,709","11,034,894","10,941,246","10,848,785","10,811,137","11,028,895","11,064,685","11,651,818","11,019,821","11,487,998","11,564,746","11,809,279","11,941,441","12,092,351","12,142,428","12,161,053","12,337,544","12,454,075","12,562,624","12,575,723","12,544,973","12,651,846","12,860,036","12,894,727","13,049,008","13,111,337","12,830,546","13,031,349","13,075,636","13,266,894", * 
,,,110000000000,Efectivo y Equivalentes de Efectivo,"224,896","231,951","227,388","210,289","217,631","222,482","236,201","264,462","311,619","300,627","275,446","318,242","295,980","276,061","235,162","249,022","237,277","250,923","295,693","260,683","243,910","287,788","294,326","302,076","254,841","249,925","237,016","228,329","297,498","271,457","261,909","267,384","284,563","296,667","264,379","311,683","303,038","271,429","298,899","313,043","296,946","303,191","297,965","296,418","299,052","336,597","313,032","327,261","387,584","387,987","364,864","372,312","351,556","357,547","368,280","373,755","370,276","407,014","400,972","401,273","422,319","435,351","417,391","392,922","384,885","397,168","425,849","431,456","448,444","432,004","428,412","439,643","444,873","404,323","399,941","411,888","433,029","454,834","417,692","409,201","435,597","436,906","467,406","475,896","492,902","501,318","474,440","485,490","478,910","482,622","476,650","473,175","486,322","497,678","672,372","713,399","663,469","651,234","639,560","625,327","633,849","644,316","582,279","582,040","558,179","567,476","567,381","614,797","543,339","512,561","499,776","517,302","505,931","499,593","481,585","480,406","508,055","592,994","531,010","538,135","596,740","616,222","591,607","602,101","586,574","533,506","567,730","599,173","550,555","537,733","547,899","556,297","535,077","557,414","527,370","552,427","548,418","529,944","518,422","525,146","517,412","536,840","514,751","543,026","579,316","559,888","542,428","576,174","505,459","520,246","521,282","546,062","522,209","550,543","546,037","583,690","594,611","584,155","556,495","584,477","618,862","607,755","566,915","503,346","569,018","543,632","615,687","644,045","607,612","603,442","638,611","632,036","658,605","640,919","618,108","667,817","668,645","637,691","678,543","663,004","749,113","706,187","746,543","792,299","715,804","627,823","603,373","556,113","582,226","615,109","611,509","722,121","751,712","724,216","690,654","620,134","686,645","716,671","636,251","695,231","631,942","668,159","727,400","686,439","711,909","681,954","671,833","740,805","733,066","758,454","760,318","733,120","665,910","659,316","701,508","776,109","834,046","757,716","757,656","788,025","774,427","818,333","711,779","689,012","781,310","651,631","770,318","735,743","712,319","769,164","761,853","816,699","924,661","907,652","842,620","909,058","900,061","895,766","928,663","941,344","915,866","939,194","956,062","977,494","997,642","1,027,385","1,065,426","1,073,375","974,314","953,229","994,370","1,125,016","1,041,251","1,015,634","1,081,914","1,112,308","1,148,917","1,129,391","1,064,991","1,053,842","1,036,941","1,024,569","1,084,009","1,044,201","1,059,872","1,023,332","1,048,696","995,016","1,050,880","1,076,687","1,070,404","1,021,778","995,376","1,012,714",*
,,,110100000000,Caja,"29,386","18,852","18,174","17,463","18,583","19,661","18,900","18,513","18,672","19,614","19,468","22,084","29,025","22,212","22,178","26,915","20,510","20,102","21,717","21,435","21,649","21,261","24,078","27,232","34,640","22,315","20,675","18,267","24,950","21,656","16,293","26,627","25,824","23,773","23,100","28,628","43,295","23,498","27,142","28,290","23,900","27,809","28,537","29,229","31,591","34,002","28,867","34,312","39,612","30,194","28,410","33,873","30,063","30,610","30,910","34,307","34,237","32,565","33,974","39,688","47,015","38,625","36,840","37,398","42,169","38,695","39,572","39,274","43,124","40,085","43,573","50,899","63,951","46,512","44,371","45,489","43,895","49,912","45,648","44,771","46,083","47,874","55,508","53,240","69,666","57,320","48,493","54,886","56,711","55,981","57,466","63,490","63,464","60,831","61,274","77,090","92,535","75,551","71,539","69,093","72,626","68,038","68,957","70,343","69,639","69,400","70,885","73,418","100,637","84,726","76,070","84,592","69,483","70,929","67,271","71,347","71,076","77,348","70,931","78,080","99,619","75,936","74,452","79,149","85,817","76,807","78,029","80,119","78,166","77,747","80,713","90,129","102,959","86,857","80,480","80,733","86,678","91,422","83,327","85,954","82,692","80,962","93,864","90,042","116,053","94,850","93,574","111,655","87,610","86,667","91,499","91,063","90,609","89,867","96,062","112,577","129,882","100,567","96,206","93,537","107,425","99,401","96,367","105,567","102,339","96,772","101,800","119,464","141,454","119,127","112,089","135,297","119,038","120,445","111,755","114,979","119,194","119,266","124,767","128,678","159,348","143,797","124,365","153,345","129,097","132,839","137,311","143,879","141,724","135,572","137,694","157,616","164,979","151,885","140,566","137,871","152,181","147,208","136,789","135,606","135,254","128,926","134,352","153,627","177,136","146,755","145,278","160,890","143,857","145,913","143,301","145,631","141,638","137,739","157,106","159,351","183,622","162,259","158,084","145,526","163,848","151,297","156,466","157,664","154,163","153,192","164,176","179,664","196,698","171,283","159,020","181,951","172,448","172,205","158,703","171,600","172,995","175,577","171,155","208,439","214,573","200,280","186,729","214,414","186,517","182,570","185,571","187,001","187,143","196,025","186,705","204,614","216,526","211,727","206,331","246,927","218,262","204,721","193,210","189,226","189,868","189,687","182,070","207,711","215,928","201,603","191,729","200,991","205,691","200,430","196,066","201,590","206,862","197,685",*
,,,110200000000,Bancos,"176,184","186,088","185,771","163,961","174,898","181,315","183,161","221,604","257,696","240,717","230,848","252,306","233,016","228,723","193,722","194,081","172,056","152,865","194,876","176,414","178,204","166,598","207,144","213,831","158,480","178,896","137,721","105,026","83,000","115,372","111,643","115,423","83,881","107,817","51,642","139,811","110,235","69,476","131,004","152,098","128,145","109,911","117,636","119,281","97,442","138,238","50,567","88,913","73,115","62,792","74,805","96,308","104,125","96,005","96,432","103,511","134,343","160,457","144,931","133,135","131,945","94,353","83,331","96,671","83,880","73,810","81,308","100,219","114,225","109,092","72,772","105,120","81,795","-166,354","-97,818","-73,344","-69,783","-75,690","-62,562","-70,648","-72,216","-46,301","-38,646","-52,084","6,793","-111,855","-60,631","-90,918","-95,130","-99,658","-79,409","-53,771","-100,030","-50,326","100,551","70,073","34,988",-33,"-12,931","11,051","60,328","27,541","43,030","67,088","9,660","-2,518","-30,489","2,570","-7,457","-46,316","-91,187","-73,100","-104,042","-88,270","-167,269","-148,471","-184,740","-147,143","-210,970","-182,566","-140,983","-155,170","-60,115","-106,190","-141,296","-147,302","-181,421","-117,433","-141,665","-145,797","-150,103","-199,868","-184,194","-196,497","-181,286","-139,546","-142,249","-214,770","-220,046","-170,268","-147,571","-139,896","-195,124","-138,004","-131,101","-198,127","-245,296","-227,139","-229,031","-218,937","-216,358","-231,160","-229,764","-223,700","-293,764","-244,876","-223,228","-184,480","-196,450","-194,598","-196,891","-198,130","-248,545","-194,299","-184,901","-195,931","-187,631","-116,656","-85,722","-180,097","-206,034","-193,973","-113,313","-120,441","-165,215","-176,300","-109,161","-147,621","-103,009","-130,433","-29,941","-126,439","-120,256","5,180","-96,144","58,395","-25,548","-109,672","-12,436","-139,732","4,513","41,939","79,060","2,916","74,939","-64,928","77,011","71,349","15,820","165,880","-88,640","175,587","105,198","51,933","70,338","-1,851","62,238","67,016","107,556","122,017","3,086","74,358","24,465","62,681","106,358","183,465","63,644","40,117","2,683","7,374","106,905","166,083","28,335","185,751","182,456","25,313","-40,849","-32,084","41,329","-48,428","-6,435","91,672","383,545","411,678","195,710","251,922","370,283","219,872","157,732","382,274","309,367","343,584","327,068","396,021","373,859","459,685","415,191","463,093","421,859","294,076","382,799","447,001","416,319","387,907","454,235","348,453","503,958","444,570","408,564","425,670","380,871","377,021","473,008","372,788","432,438","386,414","402,185","361,524","429,545","413,437","477,187","401,286","276,605","346,258",*
,,,110400000000,Efectivo y Equivalentes de Efectivo Restringidos o Dados en Garantía, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"576,094","628,073","640,971","602,911","669,558","635,220","612,496","604,337","615,735","664,346","614,760","665,791","627,249","609,920","602,238","651,967","654,099","607,758","580,870","594,377","614,701","589,835","593,070","661,669","692,963","690,032","645,310","650,690","643,852","684,269","660,049","683,012","742,308","714,448","686,527","666,115","655,234","684,076","707,001","705,095","717,194","589,898","649,585","640,454","699,051","639,395","550,529","662,612","731,148","688,184","650,943","638,557","669,609","728,159","657,460","664,797","655,163","663,467","618,733","687,461","740,070","632,743","681,746","434,833","489,525","520,451","451,726","618,148","467,544","521,332","506,513","567,361","472,978","545,861","456,104","496,817","482,488","391,975","583,307","360,858","484,327","478,136","462,632","535,015","462,294","507,313","478,876","488,186","611,388","509,526","496,904","455,767","435,619","430,218","583,543","553,104","594,746","631,753","500,942","499,026","524,963","343,315","442,762","469,903","645,027","586,312","470,676","644,467","606,458","536,797","364,529","321,288","485,300","482,390","353,111","497,072","596,980","347,681","390,529","393,491","439,146","364,556","434,647","382,783","461,494","420,770","363,181","461,170","422,800","470,236","406,055","413,263","418,794","511,917","420,584","473,760","456,600","433,911","461,117","452,832","422,689","457,792","406,224","428,374","447,701","426,909","409,833","457,059","391,456","411,992","505,583","460,915",*
,,,110405000000,Divisas a Recibir, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"137,762", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"290,267","322,963","332,633","284,271","357,381","317,538","290,599","285,964","309,791","329,647","307,840","351,830","320,465","271,777","284,959","309,939","321,216","287,628","262,019","278,166","300,566","257,194","264,085","343,523","369,973","378,636","341,156","344,899","349,745","361,456","357,077","371,994","445,641","403,374","378,141","348,062","352,198","377,956","380,805","382,739","433,356","352,021","390,778","379,214","409,672","363,314","284,461","370,696","426,499","390,028","342,173","360,729","382,631","439,596","365,539","391,897","346,228","378,178","344,268","390,025","458,364","333,657","359,431","184,102","260,278","293,983","223,351","396,333","223,586","292,339","288,443","331,206","215,364","305,673","205,214","259,166","239,403","162,747","362,878","150,447","266,888","252,083","252,827","289,453","230,471","305,222","238,145","254,073","380,007","284,033","278,909","245,092","213,718","194,933","366,505","321,286","376,197","407,946","264,233","259,456","285,029","127,723","157,062","237,999","434,607","357,558","261,011","420,058","355,766","296,229","170,168","136,666","280,433","249,449","152,758","285,110","384,676","147,735","171,656","198,588","233,050","165,503","239,416","153,163","232,130","216,655","158,366","234,478","203,018","190,168","185,005","203,688","221,078","292,625","186,186","243,999","243,906","198,028","245,031","229,287","173,078","240,359","158,509","216,067","233,793","201,388","151,665","211,566","156,600","167,685","262,069","239,554",*
