Clave,SISTEMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Estado de Situación Financiera (millones de pesos corrientes),ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23
2,MENU INICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Activo,"9,402,669","9,457,838","9,472,438","9,565,229","9,781,695","9,684,697","9,679,279","10,074,833","9,790,639","9,954,304","9,985,535","9,759,771","9,919,354","10,158,565","11,447,873","11,885,424","11,502,126","11,592,483","11,491,515","11,312,983","11,246,281","11,256,949","11,224,180","11,113,872","11,204,711","11,148,567","10,891,076","10,910,709","11,034,894","10,941,246","10,848,785","10,811,137","11,028,895","11,064,685","11,651,818","11,019,821","11,487,998","11,564,746","11,809,279","11,941,441","12,092,351","12,142,428","12,161,053","12,337,544","12,454,075","12,562,624","12,575,723","12,544,973","12,651,846","12,860,036","12,894,727","13,049,008","13,111,337","12,830,546","13,031,349","13,075,636","13,266,894"
4,Efectivo y Equivalentes de Efectivo,"757,716","757,656","788,025","774,427","818,333","711,779","689,012","781,310","651,631","770,318","735,743","712,319","769,164","761,853","816,699","924,661","907,652","842,620","909,058","900,061","895,766","928,663","941,344","915,866","939,194","956,062","977,494","997,642","1,027,385","1,065,426","1,073,375","974,314","953,229","994,370","1,125,016","1,041,251","1,015,634","1,081,914","1,112,308","1,148,917","1,129,391","1,064,991","1,053,842","1,036,941","1,024,569","1,084,009","1,044,201","1,059,872","1,023,332","1,048,696","995,016","1,050,880","1,076,687","1,070,404","1,021,778","995,376","1,012,714"
5,Caja,"162,259","158,084","145,526","163,848","151,297","156,466","157,664","154,163","153,192","164,176","179,664","196,698","171,283","159,020","181,951","172,448","172,205","158,703","171,600","172,995","175,577","171,155","208,439","214,573","200,280","186,729","214,414","186,517","182,570","185,571","187,001","187,143","196,025","186,705","204,614","216,526","211,727","206,331","246,927","218,262","204,721","193,210","189,226","189,868","189,687","182,070","207,711","215,928","201,603","191,729","200,991","205,691","200,430","196,066","201,590","206,862","197,685"
6,Bancos,"40,117","2,683","7,374","106,905","166,083","28,335","185,751","182,456","25,313","-40,849","-32,084","41,329","-48,428","-6,435","91,672","383,545","411,678","195,710","251,922","370,283","219,872","157,732","382,274","309,367","343,584","327,068","396,021","373,859","459,685","415,191","463,093","421,859","294,076","382,799","447,001","416,319","387,907","454,235","348,453","503,958","444,570","408,564","425,670","380,871","377,021","473,008","372,788","432,438","386,414","402,185","361,524","429,545","413,437","477,187","401,286","276,605","346,258"
7,Efectivo y Equivalentes de Efectivo Restringidos o Dados en Garantía,"553,104","594,746","631,753","500,942","499,026","524,963","343,315","442,762","469,903","645,027","586,312","470,676","644,467","606,458","536,797","364,529","321,288","485,300","482,390","353,111","497,072","596,980","347,681","390,529","393,491","439,146","364,556","434,647","382,783","461,494","420,770","363,181","461,170","422,800","470,236","406,055","413,263","418,794","511,917","420,584","473,760","456,600","433,911","461,117","452,832","422,689","457,792","406,224","428,374","447,701","426,909","409,833","457,059","391,456","411,992","505,583","460,915"
8,Divisas a Recibir,"321,286","376,197","407,946","264,233","259,456","285,029","127,723","157,062","237,999","434,607","357,558","261,011","420,058","355,766","296,229","170,168","136,666","280,433","249,449","152,758","285,110","384,676","147,735","171,656","198,588","233,050","165,503","239,416","153,163","232,130","216,655","158,366","234,478","203,018","190,168","185,005","203,688","221,078","292,625","186,186","243,999","243,906","198,028","245,031","229,287","173,078","240,359","158,509","216,067","233,793","201,388","151,665","211,566","156,600","167,685","262,069","239,554"
9,Otros,"2,236","2,143","3,371","2,732","1,926","2,016","2,282","1,930","3,223","1,964","1,850","3,615","1,842","2,809","6,279","4,139","2,481","2,907","3,147","3,672","3,245","2,795","2,950","1,397","1,838","3,119","2,502","2,618","2,346","3,169","2,511","2,131","1,958","2,067","3,165","2,351","2,737","2,553","5,011","6,113","6,339","6,617","5,035","5,084","5,029","6,243","5,910","5,281","6,941","7,082","5,591","5,812","5,761","5,696","6,909","6,326","7,855"
10,Cuentas de margen (instumentos financieros derivados),"24,741","26,250","28,421","27,405","31,271","32,805","36,012","40,282","43,414","42,880","40,272","41,784","42,698","45,848","52,839","73,714","72,337","72,005","74,925","68,383","66,081","64,224","69,251","73,613","71,882","59,880","48,386","49,317","48,396","41,746","42,344","40,733","35,465","32,429","38,173","35,457","34,796","28,956","26,207","26,992","26,643","31,119","31,804","32,811","29,060","28,517","30,810","36,260","33,434","32,671","27,805","27,321","27,338","31,314","31,057","31,145","30,078"
11,Inversiones en Instrumentos Financieros,"2,030,784","2,107,026","2,090,659","2,230,221","2,292,807","2,219,049","2,305,863","2,376,451","2,320,374","2,387,445","2,496,990","2,309,060","2,268,212","2,360,230","2,460,167","2,674,112","2,762,473","2,793,146","2,847,552","2,871,075","2,863,072","2,888,705","2,967,940","2,923,822","3,022,436","2,989,436","2,924,065","2,946,723","2,965,873","2,853,009","2,847,517","2,959,380","2,955,899","3,074,432","3,099,530","2,973,958","2,960,130","2,883,768","2,916,440","2,884,070","2,912,674","2,929,287","2,939,256","3,002,734","2,990,433","3,043,384","3,060,115","3,026,236","3,088,706","3,100,310","3,051,429","3,115,642","3,155,587","3,155,788","3,234,442","3,276,984","3,278,327"
